game_title,image_url,genre,short_description,player_mode
Street Fighter 6,https://images.igdb.com/igdb/image/upload/t_cover_big/co5vst.jpg,Fighting,A 2D competitive fighting game featuring a roster of classic and new characters with diverse combat styles and multiple online and offline game modes.,Both
Hunt: Showdown 1896,https://images.igdb.com/igdb/image/upload/t_cover_big/co8o7i.jpg,FPS,A competitive bounty-hunting game where players track monsters and fight other hunters in a supernatural 19th-century Louisiana setting.,Multiplayer
Wuthering Waves,https://images.igdb.com/igdb/image/upload/t_cover_big/co92hl.jpg,RPG,An open-world action role-playing game featuring real-time combat and a post-apocalyptic science fiction setting.,Singleplayer
Arma Reforger,https://images.igdb.com/igdb/image/upload/t_cover_big/co4rk4.jpg,Simulation,"A tactical military shooter set on the island of Everon, focusing on realistic combat and sandbox gameplay mechanics.",Both
Lethal Company,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ive.jpg,Survival,Players scavenge abandoned industrial moons for scrap while avoiding dangerous creatures to meet a profit quota for a mysterious company.,Multiplayer
Arena Breakout: Infinite,https://images.igdb.com/igdb/image/upload/t_cover_big/co84b9.jpg,FPS,A tactical extraction shooter where players infiltrate combat zones to loot gear and survive against other players and AI enemies.,Multiplayer
Zenless Zone Zero,https://images.igdb.com/igdb/image/upload/t_cover_big/co90je.jpg,RPG,An urban fantasy action role-playing game where players control characters navigating a post-apocalyptic city to battle monsters in interdimensional realms.,Singleplayer
ARK: Survival Ascended,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ace.jpg,Survival,A remake of ARK: Survival Evolved featuring updated graphics and mechanics where players tame dinosaurs and build bases on a mysterious island.,Both
Sid Meier's Civilization VII,https://images.igdb.com/igdb/image/upload/t_cover_big/co8po2.jpg,Strategy,"A turn-based 4X strategy game where players build an empire from antiquity to the modern era by managing resources, diplomacy, and military conquest.",Both
SMITE 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co7m9c.jpg,MOBA,A third-person team-based multiplayer online battle arena game where players control mythological gods in competitive combat matches.,Multiplayer
Throne and Liberty,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j6b.jpg,MMORPG,"A massive multiplayer online role-playing game featuring dynamic environments, large-scale guild battles, and a class system based on equipped weapons.",Multiplayer
Enshrouded,https://images.igdb.com/igdb/image/upload/t_cover_big/co6gct.jpg,Survival,"An action role-playing game featuring survival, crafting, and building mechanics set in a vast, decaying open world consumed by a mysterious fog.",Both
Poppy Playtime,https://images.igdb.com/igdb/image/upload/t_cover_big/co90hm.jpg,Horror,A first-person puzzle-adventure game where players explore an abandoned toy factory while avoiding hostile living toys.,Singleplayer
